"id","Sku","Barcode","Product description","Category","Sold by","Price","Cost","Supplier id","In stock","Bad order stock","Stock in","Stock out","Minimum reorder level","Incoming","Default purchase costs"
"19","444444","3333333","Nike","19","each","15","10","3","849","81","921","159","0","900","0"
"20","1","2","DBTK","Shirt","each","15","10","3","968","1","1000","33","10","0","100"
"27","product11111","product111111","Cola","Drinks","each","15","10","3","980","19","981","30","0","0","0"
"22","3","4","Dota","Games","each","15","10","3","975","0","1000","17","0","0","0"
"23","product10006","product10006","Iphone","Phone","each","15","10","3","983","1","999","17","0","0","0"
"21","123123213ss","123123213ss","Laravel","PL","each","15","10","3","997","0","1000","13","0","0","0"
"24","product10007","product10007","David Guitar","Instruments","each","15","10","3","988","0","1000","13","0","0","0"
"25","skuTututu","232222","Halo-Halo","Food","each","15","10","3","997","0","1000","6","0","0","0"
"26","SKUUUU2UU22","SKUU2UUUU22","Aircon","Tech","each","15","10","3","1000","0","1000","3","0","0","0"
"28","NEW","NEWA","NEWA","NEWA","NEWA","15","10","3","1000","0","1000","3","0","0","0"
"29","NEW","NEW2","NEW2","NEW2","NEW2","15","10","3","1000","0","1000","3","0","0","0"
"32","3223232","3232323","Nike","19","each","15","10","3","849","81","921","159","1","900","0"
"40","444444000","33340003333","Nike","20","each","15","10","3","849","81","921","159","1","900","0"
"45","45454545","4545455545","UnderOfCurry","19","each","15","10","3","849","81","921","159","1","900","0"
"46","4545645","45565545","CuryyUA","19","each","15","10","3","849","81","921","159","1","900","0"
